ID,heading,sortid,path
14973,Knaack,14976.5,10/2506/E4486
14974,Knap,14977.5,10/2506/E4487
14975,Knapp,14978.5,10/2506/E4488
14976,"Knapp, M",14979.5,10/2506/E4489
14977,Knast,14980.5,10/2506/E4490
14978,Knave,14981.5,10/2506/E4491
14979,Knee,14982.5,10/2506/E4506
14980,Knell,14983.5,2/2507/E4492
14981,Knibb,14984.5,2/2507/E4493
14982,Kniga,14985.5,2/2507/E4494
14983,Knight,14986.5,2/2507/E4495
14984,"Knight, F",14987.5,2/2507/E4496
14985,"Knight, J",14988.5,2/2507/E4497
14986,"Knight, S",14989.5,3/2508/E4498
14987,Knights,14990.5,3/2508/E4499
14988,"Knights ... (Titles, etc.)",14991.5,3/2508/E4500
14989,Knights of Malta,14992.5,3/2508/E4501
14990,Kniha,14993.5,3/2508/E4502
14991,Knit,14994.5,3/2508/E4503
14992,Knob,14995.5,3/2508/E4504
14993,Knoebil,14996.5,3/2509/E4507
14994,Knoef,14997.5,3/2509/E4508
14995,Knof,14998.5,3/2509/E4509
14996,Knoop,14999.5,3/2509/E4510
14997,Knor,15000.5,3/2509/E4511
14998,Knot,15001.5,3/2509/E4512
14999,Know,15002.5,3/2509/E4513
15000,Knowledge,15003.5,3/2509/E4514
15001,"Knowledge, Theory of",15004.5,sub
15002,"Knowledge, Theory of (Buddhism)",15005.5,6/2511/E4529
15003,"Knowledge (Titles, etc.)",15006.5,6/2511/E4530
15004,Knowles,15007.5,6/2511/E4531
15005,"Knowles, J",15008.5,6/2511/E4532
15006,Knox,15009.5,6/2511/E4533
15007,"Knox, J",15010.5,6/2511/E4534
15008,"Knox, R",15011.5,6/2511/E4535
15009,"Knox, W",15012.5,6/2511/E4536
15010,Knull,15013.5,6/2512/E4537
15011,Ko,15014.5,6/2512/E4538
15012,Kob,15015.5,6/2512/E4539
15013,Kobb,15016.5,6/2512/E4586
15014,Kobi,15017.5,6/2512/E4540
15015,Koby,15018.5,6/2512/E4541
15016,Koc,15019.5,6/2512/E4576
15017,Koch,15020.5,6/2512/E4542
15018,"Koch, G",15021.5,5/2513/E4543
15019,"Koch, J",15022.5,5/2513/E4544
15020,"Koch, P",15023.5,5/2513/E4545
15021,"Koch, W",15024.5,5/2513/E4546
15022,Kochen,15025.5,5/2513/E4547
15023,Kochi,15026.5,5/2513/E4548
15024,Kock,15027.5,5/2513/E4549
15025,Kocka,15028.5,7/2514/E4550
15026,Koda,15029.5,7/2514/E4551
15027,Kodiak,15030.5,7/2514/E4552
15028,Koebben,15031.5,7/2514/E4553
15029,Koechel,15032.5,7/2514/E4554
15030,Koehler,15033.5,7/2514/E4555
15031,"Koehler, J",15034.5,7/2514/E4556
15032,"Koehler, S",15035.5,7/2514/E4557
15033,Koehm,15036.5,7/2515/E4558
15034,Koel,15037.5,7/2515/E4559
15035,Koelner,15038.5,7/2515/E4560
15036,Koelner G,15039.5,7/2515/E4561
15037,Koelnische,15040.5,7/2515/E4562
15038,Koen,15041.5,7/2515/E4563
15039,Koenig,15042.5,7/2515/E4564
15040,"Koenig, H",15043.5,7/2515/E4565
15041,"Koenig, S",15044.5,7/2515/E4566
15042,Koenigs,15045.5,7/2516/E4567
15043,Koenigseck,15046.5,7/2516/E4568
15044,Koenne,15047.5,7/2516/E4569
15045,Koep,15048.5,7/2516/E4570
15046,Koepp,15049.5,7/2516/E4571
15047,Koerbagh,15050.5,7/2516/E4572
15048,Koerner,15051.5,7/2516/E4573
15049,Koers,15052.5,7/2516/E4574
15050,Koes,15053.5,7/2517/E4575
15051,Koestler,15054.5,7/2517/E4577
15052,Koeth,15055.5,7/2517/E4578
15053,Kofanov,15056.5,7/2517/E4579
15054,Koga,15057.5,7/2517/E4580
15055,Kogda,15058.5,7/2517/E4581
15056,Koh,15059.5,7/2517/E4582
15057,Kohl,15060.5,7/2517/E4583
15058,Kohle,15061.5,1/2518/E4584
15059,Kohli,15062.5,1/2518/E4585
15060,Kohn,15063.5,1/2518/E4587
15061,Kohr,15064.5,1/2518/E4588
15062,Koj,15065.5,1/2518/E4589
15063,Kok,15066.5,1/2518/E4590
15064,Koko,15067.5,1/2518/E4591
15065,Kokta,15068.5,6/2519/E4592
15066,Kol,15069.5,6/2519/E4593
15067,Kola,15070.5,6/2519/E4594
15068,Kolb,15071.5,6/2519/E4595
15069,Kolbe,15072.5,6/2519/E4596
15070,Kolbi,15073.5,6/2519/E4597
15071,Kolek,15074.5,6/2519/E4598
15072,Kolf,15075.5,7/2520/E4599
15073,Koll,15076.5,7/2520/E4600
15074,Kolle,15077.5,7/2520/E4601
15075,Kolli,15078.5,7/2520/E4602
15076,Kolloquium,15079.5,7/2520/E4603
15077,Kolm,15080.5,7/2520/E4604
15078,Kolo,15081.5,7/2520/E4605
15079,Kolon,15082.5,7/2520/E4606
15080,Kolos,15083.5,7/2521/E4607
15081,Kolp,15084.5,7/2521/E4608
15082,Koltai,15085.5,7/2521/E4609
15083,Kom,15086.5,7/2521/E4610
15084,Kombed,15087.5,7/2521/E4611
15085,Komi,15088.5,7/2521/E4612
15086,Komissii,15089.5,7/2521/E4613
15087,Komm,15090.5,7/2521/E4614
15088,Kommission,15091.5,10/2522/E4615
15089,Kommos,15092.5,10/2522/E4616
15090,Kommunisme,15093.5,10/2522/E4617
15091,Kommunisticheskaia partiia Sovetskogo Soiuza,15094.5,sub
15092,"Kommunisticheskaia partiia Sovetskogo Soiuza ... (Titles, etc.)",15095.5,1/2524/E4643
15093,Kommunistische,15096.5,1/2524/E4644
15094,Kommunistischen,15097.5,1/2524/E4645
15095,Komo,15098.5,1/2524/E4646
15096,Kompa,15099.5,1/2524/E4647
15097,Komroff,15100.5,6/2525/E4648
15098,Komunisticka,15101.5,6/2525/E4649
15099,Komunistychna,15102.5,6/2525/E4650
15100,Kon,15103.5,6/2525/E4651
15101,Konda,15104.5,6/2525/E4652
15102,Kondo,15105.5,6/2525/E4653
15103,Kone,15106.5,6/2525/E4654
15104,Konfederacja,15107.5,10/2526/E4655
15105,Konferentsiia,15108.5,10/2526/E4656
15106,Konferenz,15109.5,10/2526/E4657
15107,Kong,15110.5,10/2526/E4658
15108,Koni,15111.5,10/2526/E4659
15109,Konin,15112.5,10/2526/E4660
15110,Konkan,15113.5,10/2526/E4661
15111,Kono,15114.5,10/2526/E4662
15112,Konorski,15115.5,10/2526/E4663
15113,Konrad (Forename),15116.5,10/2527/E4664
15114,Konrad (Forename) (info),15117.5,info/N
15115,Konrad (Surname),15118.5,10/2527/E4665
15116,Konsag,15119.5,10/2527/E4666
15117,Konstan,15120.5,10/2527/E4667
15118,Konstantinov,15121.5,10/2527/E4668
15119,Konstanz,15122.5,10/2527/E4669
15120,Konstelacja,15123.5,10/2527/E4670
15121,Kont,15124.5,10/2527/E4671
15122,Kontro,15125.5,10/2527/E4672
15123,Konya,15126.5,10/2527/E4673
15124,Koo,15127.5,10/2528/E4674
15125,Koop,15128.5,10/2528/E4675
15126,Kop,15129.5,10/2528/E4676
15127,Kopec,15130.5,10/2528/E4677
15128,Kopf,15131.5,10/2528/E4678
15129,Kopp,15132.5,10/2528/E4679
15130,Koppen,15133.5,10/2528/E4680
15131,Koptos,15134.5,1/2529/E4681
15132,Koran (Person),15135.5,1/2529/E4682
15133,Koran (Scripture),15136.5,1/2529/E4683
15134,Koran (Subject),15137.5,sub
15135,Koran (Parts),15138.5,1/2530/E4698
15136,"Koran (Titles, etc.)",15139.5,1/2530/E4699
15137,Korb,15140.5,1/2530/E4700
15138,Korea,15141.5,sub
15139,Korea (Democratic People's Republic),15142.5,3/2531/E4709
15140,Korea (Republic),15143.5,3/2531/E4711
15141,"Korea (Residency-General, 1905-1910)",15144.5,3/2531/E4712
15142,"Korea (Titles, etc.)",15145.5,3/2531/E4713
15143,Korean,15146.5,3/2531/E4714
15144,Korean L,15147.5,3/2531/E4715
15145,Korean War (Subject),15148.5,5/2532/E4716
15146,"Korean War (Titles, etc.)",15149.5,5/2532/E4717
15147,Korf,15150.5,5/2532/E4718
15148,Kori,15151.5,5/2532/E4719
15149,Korn,15152.5,5/2532/E4720
15150,Kornder,15153.5,5/2532/E4721
15151,Korni,15154.5,5/2532/E4722
15152,Koro,15155.5,8/2533/E4723
15153,Korol,15156.5,8/2533/E4724
15154,Koroli,15157.5,8/2533/E4725
15155,Korot,15158.5,8/2533/E4726
15156,Korr,15159.5,8/2533/E4727
15157,Kort,15160.5,8/2533/E4728
15158,Kory,15161.5,8/2533/E4729
15159,Kos,15162.5,2/2534/E4730
15160,Koscak,15163.5,2/2534/E4731
15161,Kosco,15164.5,2/2534/E4732
15162,Kosi,15165.5,2/2534/E4733
15163,Kosma,15166.5,2/2534/E4734
15164,Kosmos,15167.5,2/2534/E4735
15165,Koss,15168.5,2/2534/E4736
15166,Kost,15169.5,3/2535/E4737
15167,Kosti,15170.5,3/2535/E4738
15168,Kostka,15171.5,3/2535/E4739
15169,Kostra,15172.5,3/2535/E4740
15170,Kostry,15173.5,3/2535/E4741
15171,Kot,15174.5,3/2535/E4742
15172,Koth,15175.5,3/2535/E4743
15173,Koto,15176.5,3/2535/E4744
15174,Kots,15177.5,5/2536/E4745
15175,Kotz,15178.5,5/2536/E4746
15176,"Kotzebue, August Friedrich",15179.5,5/2536/E4747
15177,"Kotzebue, August Friedrich (Subject)",15180.5,5/2536/E4748
15178,Kou,15181.5,5/2536/E4871
15179,Kouraichi,15182.5,5/2536/E4749
15180,Kovac,15183.5,5/2536/E4750
15181,Kovago,15184.5,5/2536/E4751
15182,Kovalev,15185.5,8/2537/E4703
15183,Kovalik,15186.5,8/2537/E4710
15184,Kovda,15187.5,8/2537/E4752
15185,Kowaka,15188.5,8/2537/E4753
15186,Kowalik,15189.5,8/2537/E4754
15187,Kowe,15190.5,8/2537/E4755
15188,Koza,15191.5,8/2537/E4756
15189,Kozev,15192.5,8/2537/E4757
15190,Koziar,15193.5,8/2538/E4758
15191,Kozlov,15194.5,8/2538/E4759
15192,Kozlova,15195.5,8/2538/E4760
15193,Kozma,15196.5,8/2538/E4761
15194,Kra,15197.5,8/2538/E4762
15195,Krader,15198.5,8/2538/E4763
15196,Kraemer,15199.5,8/2538/E4764
15197,Kraf,15200.5,8/2538/E4765
15198,Kraft,15201.5,8/2539/E4767
15199,Krag,15202.5,8/2539/E4768
15200,Krai,15203.5,8/2539/E4769
15201,Kraj,15204.5,8/2539/E4770
15202,Krakow (Person),15205.5,8/2539/E4771
15203,Krakow (Place),15206.5,sub
15204,Krakow (District),15207.5,8/2539/E4777
15205,Kral,15208.5,8/2539/E4778
15206,Kram,15209.5,9/2540/E4779
15207,Kramer,15210.5,9/2540/E4780
15208,"Kramer, M",15211.5,9/2540/E4781
15209,Kramers,15212.5,9/2540/E4782
15210,Kran,15213.5,9/2540/E4783
15211,Kranz,15214.5,9/2540/E4784
15212,Krapp,15215.5,9/2540/E4785
15213,Kras,15216.5,9/2540/E4786
15214,Krasin,15217.5,9/2540/E4787
15215,Krasna,15218.5,9/2541/E4788
15216,Krasnov,15219.5,9/2541/E4789
15217,Krasota,15220.5,9/2541/E4790
15218,Krat,15221.5,9/2541/E4791
15219,Kratkoe,15222.5,9/2541/E4792
15220,Kraus,15223.5,9/2541/E4794
15221,"Kraus, H",15224.5,9/2541/E4795
15222,"Kraus, M",15225.5,9/2542/E4796
15223,Krause,15226.5,9/2542/E4797
15224,"Krause, K",15227.5,9/2542/E4798
15225,Krauss,15228.5,9/2542/E4799
15226,Kraut,15229.5,9/2542/E4800
15227,Kraval,15230.5,9/2542/E4801
15228,Kravos,15231.5,9/2542/E4802
15229,Krea,15232.5,9/2543/E4803
15230,Kredba,15233.5,9/2543/E4804
15231,Kreh,15234.5,9/2543/E4805
15232,Krein,15235.5,9/2543/E4806
15233,Kreitan,15236.5,9/2543/E4807
15234,Krem,15237.5,9/2543/E4808
15235,Kremlin,15238.5,9/2543/E4809
15236,Kren,15239.5,3/2544/E4810
15237,Krenn,15240.5,3/2544/E4811
15238,Kres,15241.5,3/2544/E4812
15239,Krest,15242.5,3/2544/E4813
15240,Kret,15243.5,3/2544/E4814
15241,Kretz,15244.5,3/2544/E4815
15242,Kreutel,15245.5,3/2544/E4816
15243,Krey,15246.5,9/2545/E4817
15244,Krieg,15247.5,9/2545/E4818
15245,Krieger,15248.5,9/2545/E4819
15246,Kriegs,15249.5,9/2545/E4820
15247,Krier,15250.5,9/2545/E4821
15248,Krim,15251.5,9/2545/E4822
15249,Kris,15252.5,9/2545/E4823
15250,Krishan,15253.5,9/2545/E4824
15251,Krishnan,15254.5,9/2546/E4825
15252,Krist,15255.5,9/2546/E4826
15253,Kristi,15256.5,9/2546/E4827
15254,Krit,15257.5,9/2546/E4828
15255,Kritika,15258.5,9/2546/E4829
15256,Kritis,15259.5,9/2546/E4830
15257,Kritz,15260.5,9/2546/E4831
15258,Kriva,15261.5,10/2547/E4832
15259,Kriz,15262.5,10/2547/E4833
15260,Krk,15263.5,10/2547/E4834
15261,Kroebel,15264.5,10/2547/E4835
15262,Kroeh,15265.5,10/2547/E4836
15263,Krog,15266.5,10/2547/E4837
15264,Krol,15267.5,10/2547/E4838
15265,Krolo,15268.5,10/2548/E4839
15266,Kron,15269.5,10/2548/E4840
15267,Kronica,15270.5,10/2548/E4841
15268,Krop,15271.5,10/2548/E4842
15269,Krot,15272.5,10/2548/E4843
15270,Kru,15273.5,10/2548/E4844
15271,Krueger,15274.5,10/2548/E4845
15272,"Krueger, H",15275.5,10/2549/E4846
15273,"Krueger, M",15276.5,10/2549/E4847
15274,Krug,15277.5,10/2549/E4848
15275,Kruh,15278.5,10/2549/E4849
15276,Krum,15279.5,10/2549/E4850
15277,Krupa,15280.5,10/2549/E4851
15278,Krus,15281.5,10/2549/E4852
15279,Krusic,15282.5,10/2550/E4853
15280,Krut,15283.5,10/2550/E4854
15281,Kruuk,15284.5,10/2550/E4855
15282,Krv,15285.5,10/2550/E4856
15283,Krym,15286.5,10/2550/E4857
15284,Kryt,15287.5,10/2550/E4858
15285,Krzak,15288.5,10/2550/E4859
15286,K's,15289.5,10/2550/E4860
15287,Ktab,15290.5,10/2550/E4861
15288,Ku,15291.5,10/2551/E4862
15289,Ku K,15292.5,10/2551/E4863
15290,Kuac,15293.5,10/2551/E4864
15291,Kub,15294.5,10/2551/E4865
15292,Kuban,15295.5,10/2551/E4866
15293,Kube,15296.5,10/2551/E4867
15294,Kubin,15297.5,10/2551/E4868
15295,Kubla,15298.5,10/2551/E4869
15296,Kuch,15299.5,10/2551/E4870
15297,Kuck,15300.5,10/2552/E4872
15298,Kuda,15301.5,10/2552/E4873
15299,Kudo,15302.5,10/2552/E4874
15300,Kueas,15303.5,10/2552/E4875
15301,Kueenburg,15304.5,10/2552/E4876
15302,Kuehn,15305.5,10/2552/E4877
15303,Kuehne,15306.5,10/2552/E4878
15304,Kuehnel,15307.5,10/2552/E4879
15305,Kuei,15308.5,10/2553/E4880
15306,Kuen,15309.5,10/2553/E4881
15307,Kuenne,15310.5,10/2553/E4882
15308,Kuentz,15311.5,10/2553/E4883
15309,Kuep,15312.5,10/2553/E4884
15310,Kuer,15313.5,10/2553/E4885
15311,Kuev,15314.5,10/2553/E4886
15312,Kuh,15315.5,10/2553/E4887
15313,Kuhn,15316.5,1/2554/E4888
15314,"Kuhn, H",15317.5,1/2554/E4889
15315,"Kuhn, R",15318.5,1/2554/E4890
15316,Kui,15319.5,1/2554/E4891
15317,Kuk,15320.5,1/2554/E4892
15318,Kuki,15321.5,1/2554/E4893
15319,Kul,15322.5,1/2554/E4894
15320,"Kuleba, G",15323.5,4/2555/F1007
15321,Kulha,15324.5,4/2555/F4762
15322,Kulinska,15325.5,4/2555/F1002
15323,Kullak,15326.5,4/2555/F1003
15324,Kulsrud,15327.5,4/2555/F1004
15325,Kultura,15328.5,4/2555/F1005
15326,Kulturen,15329.5,4/2555/F1006
15327,Kulturno,15330.5,6/2556/F1008
15328,Kuman,15331.5,6/2556/F1009
15329,Kumas,15332.5,6/2556/F1010
15330,Kump,15333.5,6/2556/F1011
15331,Kunda,15334.5,6/2556/F1012
15332,Kung,15335.5,6/2556/F1013
15333,Kuni,15336.5,6/2556/F1014
15334,Kunke,15337.5,6/2556/F1015
15335,Kunst (Person),15338.5,6/2557/F1016
15336,"Kunst (Titles, etc.)",15339.5,6/2557/H1160
15337,Kunst des ...,15340.5,6/2557/F1017
15338,Kunst und ...,15341.5,6/2557/F1018
15339,Kunstadter,15342.5,6/2557/H1161
15340,Kunstdenkmaeler,15343.5,6/2557/F1019
15341,Kunstfreund,15344.5,6/2557/F1020
15342,Kunstman,15345.5,6/2557/F1021
15343,Kunstwerk,15346.5,6/2557/F1022
15344,Kuntu,15347.5,6/2557/F1023
15345,Kunz,15348.5,6/2557/F1024
15346,Kunze,15349.5,8/2558/F1025
15347,Kuo,15350.5,8/2558/F1026
15348,Kuo L,15351.5,8/2558/F1027
15349,Kupavna,15352.5,8/2558/F1028
15350,Kupfer,15353.5,8/2558/F1029
15351,Kupol,15354.5,8/2558/F1030
15352,Kuprina,15355.5,8/2558/F1031
15353,Kurat,15356.5,8/2558/F1032
15354,Kurbeka,15357.5,8/2559/F1033
15355,Kurdish,15358.5,8/2559/F1039
15356,Kurds,15359.5,8/2559/F1034
15357,Kurgan,15360.5,8/2559/F1035
15358,Kurland,15361.5,8/2559/F1036
15359,Kuros,15362.5,8/2559/F1037
15360,Kurr,15363.5,8/2559/F1038
15361,Kursk,15364.5,8/2559/F1040
15362,Kurt,15365.5,8/2560/F1041
15363,Kurtz,15366.5,8/2560/F1042
15364,Kuru,15367.5,8/2560/F1043
15365,Kurz,15368.5,8/2560/F1044
15366,Kurze,15369.5,8/2560/F1045
15367,Kus,15370.5,8/2560/F1046
15368,Kushi,15371.5,8/2560/F1048
15369,Kuss,15372.5,8/2560/F1047
15370,Kut,15373.5,8/2561/F1049
15371,Kutna,15374.5,8/2561/F1050
15372,Kutt,15375.5,8/2561/F1051
15373,Kutz,15376.5,8/2561/F1052
15374,Kuwait,15377.5,8/2561/F1053
15375,Kuwana,15378.5,8/2561/F1054
15376,Kuzakov,15379.5,8/2561/F1055
15377,Kuzmin,15380.5,8/2561/F1056
15378,Kuzminov,15381.5,8/2562/F1057
15379,Kuznetsov,15382.5,8/2562/F1058
15380,"Kuznetsov, N",15383.5,8/2562/F1059
15381,Kuznia,15384.5,8/2562/F1060
15382,Kviat,15385.5,8/2562/F1061
15383,Kwal,15386.5,8/2562/F1062
15384,Kweder,15387.5,8/2562/F1063
15385,Ky,15388.5,8/2562/F1064
15386,Kykal,15389.5,9/2563/F1065
15387,Kyoto,15390.5,9/2563/F1066
15388,Kyoto Daigaku,15391.5,9/2563/F1067
15389,Kyoto Kokuritsu,15392.5,9/2563/F1068
15390,Kyrk,15393.5,9/2563/F1069
15391,Kyushu,15394.5,9/2563/F1070
15392,L,15395.5,9/2563/F1072
15393,L.B.,15396.5,9/2563/F1071
15394,L.L.,15397.5,1/2564/F1073
15395,Laabi,15398.5,1/2564/F1074
15396,Laba,15399.5,1/2564/F1075
15397,Labarbe,15400.5,1/2564/F1076
15398,Labarta,15401.5,1/2564/F1077
15399,Labbe,15402.5,1/2564/F1078
15400,Label,15403.5,1/2564/F1079
15401,Labi,15404.5,1/2565/F1080
15402,Labo,15405.5,1/2565/F1081
15403,Labor and laboring classes,15406.5,sub
15404,Labor and laboring classes in art,15407.5,3/2570/F1138
15405,Labor camps,15408.5,3/2570/F1139
15406,Labor day,15409.5,3/2570/F1140
15407,Labor disputes (Subject),15410.5,sub
15408,"Labor disputes (Titles, etc.)",15411.5,3/2570/F1141
15409,Labor history,15412.5,3/2570/F1142
15410,Labor laws and legislation,15413.5,sub
15411,"Labor laws and legislation, international",15414.5,3/2571/F1165
15412,Labor manuscripts,15415.5,3/2571/F1166
15413,Labor mobility (Subject),15416.5,sub
15414,"Labor mobility (Titles, etc.)",15417.5,3/2571/F1171
15415,Labor party (Great Britain),15418.5,sub
15416,Labor party (New Zealand),15419.5,4/2572/F1172
15417,Labor policy,15420.5,sub
15418,Labor policy and industrial relations in India,15421.5,4/2572/F1182
15419,Labor productivity (Subject),15422.5,sub
15420,"Labor productivity (Titles, etc.)",15423.5,4/2572/F1189
15421,Labor supply,15424.5,sub
15422,Labor supply and earnings in Great Britain,15425.5,6/2573/F1206
15423,Laboratori,15426.5,7/2574/F1207
15424,Laboratory arts,15427.5,7/2574/F1208
15425,Laborde,15428.5,7/2574/F1209
15426,Labosne,15429.5,7/2574/F1210
15427,Labra,15430.5,7/2574/F1211
15428,Labric,15431.5,7/2574/F1212
15429,Labrouste,15432.5,7/2574/F1213
15430,Laby,15433.5,8/2575/F1214
15431,Lacal,15434.5,8/2575/F1215
15432,Lacapra,15435.5,8/2575/F1216
15433,Laceby,15436.5,8/2575/F1217
15434,Lachaise,15437.5,8/2575/F1218
15435,Laches,15438.5,8/2575/F1219
15436,Lachman,15439.5,8/2575/F1220
15437,Lachs,15440.5,8/2575/F1221
15438,Lacko,15441.5,9/2576/F1222
15439,Lacombe,15442.5,9/2576/F1223
15440,Laconia,15443.5,9/2576/F1224
15441,Lacour,15444.5,9/2576/F1225
15442,Lacquer,15445.5,9/2576/F1226
15443,Lacroix,15446.5,9/2576/F1227
15444,"Lacroix, P",15447.5,9/2576/F1228
15445,"Lacroix, R",15448.5,9/2577/F1229
15446,"Lactantius, Lucius Caecilius Firmianus",15449.5,sub
15447,"Lactantius, Lucius Caecilius Firmianus (Subject)",15450.5,sub
15448,Lactantius Placidus,15451.5,9/2577/F1235
15449,Lad,15452.5,9/2577/F1236
15450,Ladde,15453.5,9/2577/F1237
15451,Ladies,15454.5,9/2577/F1238
15452,Ladino,15455.5,9/2577/F1239
15453,Ladrone,15456.5,9/2577/F1240
15454,Lady,15457.5,9/2578/F1242
15455,Lady of ...,15458.5,9/2578/F1243
15456,Ladys,15459.5,9/2578/F1244
15457,Laemmel,15460.5,9/2578/F1245
15458,Laet,15461.5,9/2578/F1246
15459,Lafarge,15462.5,9/2578/F1247
15460,Lafayette,15463.5,9/2578/F1248
15461,"Lafayette, Marie Joseph",15464.5,9/2578/F1249
15462,"Lafayette, Marie Madeleine",15465.5,9/2578/F1250
15463,Lafayette Clinic,15466.5,9/2579/F1251
15464,Laffal,15467.5,9/2579/F1252
15465,Laffranque,15468.5,9/2579/F1253
15466,Lafond,15469.5,9/2579/F1254
15467,Lafontaine,15470.5,9/2579/F1255
15468,"Lafontaine, Jean de",15471.5,sub
15469,"Lafontaine, Jean de (Subject)",15472.5,9/2579/F1259
15470,"Lafontaine, Jean Sybil",15473.5,9/2579/F1260
15471,Lafoscade,15474.5,9/2579/F1261
15472,Lafue,15475.5,11/2580/F1262
15473,Lagarde,15476.5,11/2580/F1263
15474,Lage,15477.5,11/2580/F1264
15475,Lagerlof,15478.5,11/2580/F1265
15476,Lagneau,15479.5,11/2580/F1266
15477,Lagos,15480.5,11/2580/F1267
15478,Lagrange,15481.5,11/2580/F1268
15479,Lagrassa,15482.5,11/2580/F1269
15480,Laguerre,15483.5,11/2580/F1270
15481,Lah,15484.5,11/2581/F1271
15482,Lahee,15485.5,11/2581/F1272
15483,Lahore,15486.5,11/2581/F1273
15484,Lai,15487.5,11/2581/F1274
15485,Laig,15488.5,11/2581/F1275
15486,Laing,15489.5,11/2581/F1276
15487,Laini,15490.5,11/2581/F1277
15488,Lais,15491.5,11/2582/F1278
15489,Laity,15492.5,11/2582/F1279
15490,Lajolo,15493.5,11/2582/F1280
15491,Lake,15494.5,11/2582/F1281
15492,Lake Bonneville,15495.5,11/2582/F1282
15493,Lake George,15496.5,11/2582/F1283
15494,Lakes,15497.5,11/2582/F1284
15495,Lakey,15498.5,11/2583/F1285
15496,Lakota,15499.5,11/2583/F1286
15497,Laland,15500.5,11/2583/F1287
15498,Lale,15501.5,11/2583/F1288
15499,Lallement,15502.5,11/2583/F1289
15500,Laloup,15503.5,11/2583/F1290
15501,Lamaism,15504.5,11/2583/F1291
15502,Lamar,15505.5,3/2584/F1292
15503,Lamare,15506.5,3/2584/F1293
15504,Lamartine,15507.5,3/2584/F1301
15505,"Lamartine, Alphonse Marie Louise de, 1790-1869",15508.5,sub
15506,"Lamartine, Alphonse Marie Louise de, 1790-1869 (Subject)",15509.5,3/2584/F1298
15507,"Lamartine, Maria",15510.5,3/2584/F1299
15508,Lamb,15511.5,3/2584/F1300
15509,"Lamb, Charles, 1775-1834",15512.5,sub
15510,"Lamb, Charles, 1775-1834 (Subject)",15513.5,3/2584/F1306
15511,"Lamb, Charles M.",15514.5,3/2584/F1307
15512,"Lamb, Mary Ann, 1764-1847",15515.5,sub
15513,"Lamb, Mary Ann, 1764-1847 (Subject)",15516.5,3/2584/F1312
15514,"Lamb, Michael",15517.5,3/2584/F1313
15515,Lambda,15518.5,3/2585/F1314
15516,Lambert,15519.5,3/2585/F1315
15517,"Lambert, E",15520.5,3/2585/F1316
15518,"Lambert, J",15521.5,3/2585/F1317
15519,"Lambert, N",15522.5,3/2585/F1318
15520,Lamberti,15523.5,3/2585/F1319
15521,Lambin,15524.5,3/2585/F1320
15522,Lambrechts,15525.5,3/2585/F1321
15523,Lamego,15526.5,3/2586/F1322
15524,Lament,15527.5,3/2586/F1323
15525,Lamer,15528.5,3/2586/F1324
15526,Lami,15529.5,3/2586/F1325
15527,Lamm,15530.5,3/2586/F1326
15528,Lamola,15531.5,3/2586/F1327
15529,Lamontagne,15532.5,3/2586/F1328
15530,Lamotte,15533.5,3/2586/F1329
15531,Lamouche,15534.5,6/2587/F1330
15532,Lampe,15535.5,6/2587/F1331
15533,Lampi,15536.5,6/2587/F1332
15534,Lampredi,15537.5,6/2587/F1333
15535,Lams,15538.5,6/2587/F1334
15536,Lan,15539.5,6/2587/F1335
15537,Lancashire,15540.5,6/2587/F1336
15538,Lancaster (Person),15541.5,6/2587/F1337
15539,Lancaster (Place),15542.5,6/2588/F1338
15540,Lance,15543.5,6/2588/F1339
15541,Lancet,15544.5,6/2588/F1340
15542,Land (Person),15545.5,6/2588/F1341
15543,Land (Subject),15546.5,sub
15544,"Land, Burning of",15547.5,6/2588/F1348
15545,"Land (Titles, etc.)",15548.5,7/2589/F1349
15546,Land banks,15549.5,7/2589/F1350
15547,Land grant,15550.5,7/2589/F1351
15548,Land law,15551.5,7/2589/F1352
15549,Land of tall skies,15552.5,7/2589/F1353
15550,Land reform (Subject),15553.5,sub
15551,"Land reform (Titles, etc.)",15554.5,7/2589/F1361
15552,Land settlement (Subject),15555.5,sub
15553,"Land settlement (Titles, etc.)",15556.5,11/2590/F1368
15554,Land tenure,15557.5,sub
15555,Land tenure (Germanic law),15558.5,11/2592/F1390
15556,Land titles,15559.5,11/2592/F1391
15557,Land use (Subject),15560.5,sub
15558,"Land use, rural",15561.5,11/2592/F1396
15559,"Land use (Titles, etc.)",15562.5,11/2592/F1397
15560,Land value taxation (Subject),15563.5,sub
15561,"Land value taxation (Titles, etc.)",15564.5,11/2593/F1402
15562,Landau,15565.5,11/2593/F1403
15563,"Landau, M",15566.5,11/2593/F1404
15564,Landberg,15567.5,11/2593/F1405
15565,Lander,15568.5,11/2593/F1406
15566,Landesen,15569.5,11/2593/F1407
15567,Landfall,15570.5,11/2593/F1408
15568,Landi,15571.5,11/2594/F1409
15569,Landis,15572.5,11/2594/F1410
15570,Landlord and tenant,15573.5,sub
15571,Landlord and tenant (Roman law),15574.5,11/2594/F1414
15572,Landmark,15575.5,11/2594/F1415
15573,Landon,15576.5,11/2594/F1416
15574,"Landon, H",15577.5,11/2594/F1417
15575,"Landon, J",15578.5,11/2594/F1418
15576,Landor,15579.5,11/2595/F1419
15577,"Landor, Walter Savage",15580.5,sub
