ID,heading,sortid,path
302,Adolph,303.5,19/0039/A1343
303,Adon,304.5,19/0040/A1344
304,Adoption,305.5,19/0040/A1345
305,Adorno,306.5,19/0040/A1346
306,Adossides,307.5,19/0040/A1347
307,Adret,308.5,19/0040/A1348
308,Adriani,309.5,19/0040/A1349
309,Ads,310.5,19/0040/A1350
310,Adult education,311.5,sub
311,"Adult education (Titles, etc.)",312.5,1/0041/A1355
312,Advanced,313.5,1/0041/A1356
313,Advanced G,314.5,1/0041/A1357
314,Advanced S,315.5,1/0041/A1358
315,Advanced T,316.5,1/0041/A1359
316,Advances in ...,317.5,1/0041/A1360
317,Advances in C,318.5,1/0041/A1361
318,Advances in E,319.5,19/0042/A1362
319,Advances in F,320.5,19/0042/A1363
320,Advances in O,321.5,19/0042/A1364
321,Advances in T,322.5,19/0042/A1365
322,Advani,323.5,19/0042/A1366
323,Adventure,324.5,19/0042/A1402
324,Adventurer,325.5,19/0042/A1367
325,Adventures of  ...,326.5,19/0043/A1368
326,Adventures of ideas,327.5,19/0043/A1369
327,Adventuring,328.5,19/0043/A1370
328,Advertising,329.5,sub
329,"Advertising, Art in",330.5,19/0043/A1377
330,Advice,331.5,1/0044/A1336
331,Advisory,332.5,1/0044/A1380
332,Ady,333.5,1/0044/A1381
333,Aeberhardt,334.5,1/0044/A1382
334,Aegidius,335.5,1/0044/A1383
335,Aegypten,336.5,1/0044/A1384
336,Aegyptus,337.5,1/0044/A1385
337,Aelianus,338.5,1/0044/A1409
338,"Aelianus, Claudius",339.5,sub
339,Aelink,340.5,1/0044/A1319
340,Aemilius,341.5,2/0045/A1386
341,Aerde,342.5,2/0045/A1387
342,Aerni,343.5,2/0045/A1388
343,Aerodynamics,344.5,sub
344,"Aerodynamics, Hypersonic",345.5,2/0045/A1393
345,"Aerodynamics (Titles, etc.)",346.5,2/0045/A1394
346,Aeronautic,347.5,2/0045/A1395
347,Aeronautics (Subject),348.5,sub
348,"Aeronautics, Commercial",349.5,sub
349,"Aeronautics, Commercial study and teaching",350.5,20/0048/A2381
350,"Aeronautics, Military",351.5,sub
351,"Aeronautics, Naval",352.5,20/0048/A1403
352,Aerospace,353.5,20/0048/A2386
353,Aerosphere,354.5,20/0048/A2387
354,Aeschines,355.5,20/0048/A2388
355,Aeschylus,356.5,sub
356,Aeschylus (Subject),357.5,sub
357,"Aeschylus (Titles, etc.)",358.5,2/0049/A2420
358,Aesop,359.5,2/0049/A2389
359,Aesopus,360.5,sub
360,Aesopus (Subject),361.5,2/0049/A2425
361,Aesopus bey Hofe,362.5,2/0049/A2429
362,Aesthetics,363.5,sub
363,"Aesthetics, American",364.5,2/0051/A2434
364,"Aesthetics (Titles, etc.)",365.5,2/0051/A2433
365,Aeta,366.5,2/0051/A2435
366,Af,367.5,2/0051/A2436
367,Aferdita,368.5,2/0051/A2437
368,Affaires,369.5,1/0052/A2440
369,Affifi,370.5,1/0052/A2441
370,Affo,371.5,1/0052/A2442
371,Afgan,372.5,1/0052/A2443
372,Afghanistan,373.5,sub
373,"Afghanistan (Titles, etc.)",374.5,1/0052/A2448
374,Afigbo,375.5,1/0053/A2449
375,Africa (Person),376.5,1/0053/A2450
376,Africa (Place),377.5,sub
377,Africa (Roman Province),378.5,2/0055/A2471
378,"Africa, British East",379.5,2/0055/A2473
379,"Africa, Central",380.5,2/0055/A2474
380,"Africa, East",381.5,sub
381,"Africa, Eastern",382.5,21/0056/A2479
382,"Africa, French West",383.5,21/0056/A2480
383,"Africa, North",384.5,sub
384,"Africa, North, In art",385.5,2/0057/A2493
385,"Africa, Southern",386.5,sub
386,"Africa, Southern, In literature",387.5,2/0057/A2501
387,"Africa, Sub-Saharan",388.5,sub
388,"Africa, West",389.5,sub
389,"Africa, West, In literature",390.5,2/0058/A2516
390,"Africa (Titles, etc.)",391.5,2/0058/A2517
391,Africa in ...,392.5,2/0058/A2519
392,African,393.5,2/0058/A2520
393,African C,394.5,2/0058/A2521
394,African H,395.5,2/0059/A2518
395,African law,396.5,2/0059/A2532
396,African M,397.5,2/0059/A2533
397,African R,398.5,2/0059/A2534
398,African T,399.5,2/0059/A2535
399,Afrifa,400.5,9/0060/A2536
400,Afrikaanders,401.5,9/0060/A2537
401,Afrique,402.5,9/0060/A2538
402,Afro,403.5,9/0060/A2539
403,Afro-American C,404.5,9/0060/A2540
